model,test_set,macro_f1,f1_legit,f1_unwanted,cv_macro_f1_mean,cv_macro_f1_std
Model W (Western-only),Mendeley,0.9874310379427742,0.9953632148377125,0.979498861047836,0.9771516364878741,0.009820092923173665
Model W (Western-only),India,0.7681157059791195,0.8715083798882681,0.6647230320699709,0.9771516364878741,0.009820092923173665
Model A (India-augmented),Mendeley,0.9860098095923329,0.9948506694129763,0.9771689497716894,0.9806769000243764,0.005664420317224902
Model A (India-augmented),India,0.9911943028989094,0.9937264742785445,0.9886621315192744,0.9806769000243764,0.005664420317224902
