feature,importance_mean,importance_std
digit_count,0.10781806667194474,0.010586848085444692
has_phone,0.07382056273367522,0.008796248095459518
has_url,0.020662386763446706,0.0035287672954394905
urgency_count,0.019168726929568336,0.0051386564305850825
word_count,0.0032040706204093826,0.01378494035977424
has_email,0.0004312011729268872,0.0004761941947818053
count_currency,-0.00493507016202831,0.005702556113462504
uppercase_ratio,-0.008216485210237535,0.01377819531397592
count_links,-0.009940227791996437,0.0026957016575873943
message_length,-0.031863694221774284,0.014748511777344321
