,ham,smishing,spam
message_length,-1.326288438780132,0.665054352645418,0.6612340861347128
word_count,-0.7362472264616489,0.28824353483910226,0.44800369162254544
digit_count,-2.766735154780091,2.1280838548713503,0.6386512999087438
uppercase_ratio,-0.6345234010668958,-0.1336885147206262,0.7682119157875221
count_links,-0.8970568653872556,0.4437885211991627,0.45326834418809486
has_url,-1.668934786292731,1.376009184568246,0.2929256017244854
has_phone,-3.1939526406300467,1.8327723832380154,1.361180257392036
has_email,-0.6468708463327367,0.9190177505119095,-0.2721469041791724
count_currency,-1.0654416616656313,0.556988562741669,0.5084530989239643
urgency_count,-1.2264859927512537,0.8413263644259752,0.38515962832527767
